city,latitude,longitude
Pune,18.5204,73.8567
Kolhapur,16.7050,74.2433
Nashik,19.9975,73.7898
Thane,19.2183,72.9781
Solapur,17.6599,75.9064
Satara,17.6805,74.0183
Sindhudurg,16.0667,73.5000
Palghar,19.6967,72.7661
Ahmednagar,19.0948,74.7480
Jalgaon,21.0077,75.5626
Bhiwandi,19.3002,73.0502
Kalyan,19.2437,73.1355
Dombivli,19.2183,73.0868
Vasai,19.4667,72.8167
Virar,19.4559,72.8111
Ulhasnagar,19.2215,73.1645
Sangamner,19.5667,74.2167
Baramati,18.1518,74.5815
Hingoli,19.7167,77.1500
Parbhani,19.2608,76.7701
Wardha,20.7453,78.6022
Phaltan,17.9833,74.4333
Wai,17.9500,73.8833
Mahabaleshwar,17.9167,73.6500
Panchgani,17.9167,73.8000
Lonavala,18.7500,73.4167
Khandala,18.7333,73.3833
Talegaon,18.7333,73.6833
Chakan,18.7667,73.8667
Dehu,18.7167,73.7667
Alandi,18.6833,73.8833
Saswad,18.3500,73.9833
Bhor,18.1500,73.8333
Khed,18.0333,73.4000
Rajgurunagar,18.8667,73.7667
Ambegaon,19.0000,73.7167
Junnar,19.2000,73.8833
Narayangaon,19.1000,73.9833
Manchar,19.0333,73.9167
Ghodegaon,18.6667,73.7667
Shirur,18.8167,74.3667
Daund,18.4667,74.5833
Indapur,18.1167,75.0167
Purandar,18.3000,73.9833
Velhe,18.2833,73.6167
Mulshi,18.5333,73.5000
Haveli,18.4167,73.8167
Maval,18.7167,73.5333
Kankavli,16.2667,73.7000
Kudal,16.0167,73.6833
Sawantwadi,15.9000,73.8167
Dodamarg,15.7333,73.8167
Vengurla,15.8667,73.6167
Malvan,16.0667,73.4667
Devgad,16.3833,73.3833
Vaibhavwadi,16.5167,73.7333
